"","forcedchoice","fox","msnbc","entertainment","med_pref","med_choice","actions_discuss","fair_4","friendly_4","good_4","quarrel_4","balanced_4","oneside_4","american_4","accurate_4","party1","party4"
"333",1,1,NA,NA,1,NA,3,1,4,1,4,3,4,1,1,2,NA
"334",1,NA,NA,1,1,NA,4,3,2,4,6,4,4,5,4,2,NA
"335",0,NA,NA,NA,1,1,4,3,5,2,3,3,5,1,3,2,NA
"336",0,NA,NA,NA,3,3,4,1,1,2,7,3,4,2,2,2,NA
"337",1,NA,NA,1,3,NA,1,3,3,2,5,2,4,2,3,3,2
"338",1,1,NA,NA,4,NA,2,3,3,1,4,3,5,1,2,3,1
"339",0,NA,NA,NA,4,4,2,4,3,4,4,4,4,3,3,3,3
"340",0,NA,NA,NA,2,2,3,3,4,3,4,4,3,3,3,1,NA
"341",0,NA,NA,NA,4,4,4,4,3,4,5,3,4,5,3,2,NA
"342",0,NA,NA,NA,3,3,3,5,3,3,4,4,3,3,3,3,2
"343",1,NA,1,NA,4,NA,4,5,4,6,6,5,4,3,5,1,NA
"344",0,NA,NA,NA,1,1,1,3,4,3,4,3,4,3,3,4,1
"345",1,NA,NA,1,4,NA,1,4,4,4,4,4,4,4,4,1,NA
"346",1,1,NA,NA,4,NA,3,2,4,3,4,4,3,3,3,1,NA
"347",1,1,NA,NA,1,NA,3,3,3,3,5,3,5,2,3,3,1
"348",1,1,NA,NA,4,NA,3,3,4,4,3,5,3,3,3,3,2
"349",0,NA,NA,NA,4,4,3,1,1,1,7,1,7,1,1,1,NA
"350",1,NA,1,NA,4,NA,3,3,2,5,4,2,5,6,6,3,2
"351",1,NA,NA,1,2,NA,2,2,1,2,6,2,5,2,2,1,NA
"352",0,NA,NA,NA,4,4,4,2,2,2,6,2,6,2,2,2,NA
"353",1,1,NA,NA,2,NA,4,6,6,6,2,6,2,3,6,3,2
"354",0,NA,NA,NA,2,2,1,2,2,2,4,2,4,1,1,1,NA
"355",0,NA,NA,NA,1,4,4,3,1,3,5,3,4,3,3,1,NA
"356",1,NA,1,NA,2,NA,3,4,4,4,4,2,5,1,2,1,NA
"357",1,NA,1,NA,4,NA,4,3,3,3,4,3,2,2,3,4,1
"358",1,NA,NA,1,2,NA,3,3,2,1,5,3,4,4,2,3,3
"359",1,NA,NA,1,3,NA,3,1,1,2,5,3,4,4,2,1,NA
"360",0,NA,NA,NA,4,4,1,3,3,3,5,3,6,3,2,4,3
"361",0,NA,NA,NA,1,1,3,2,2,1,4,1,6,1,1,2,NA
"362",1,NA,NA,1,3,NA,4,4,4,4,4,4,4,4,4,1,NA
"363",0,NA,NA,NA,4,4,4,5,3,3,4,5,3,3,5,3,3
"364",0,NA,NA,NA,4,4,4,2,3,3,7,3,4,4,2,2,NA
"365",0,NA,NA,NA,4,4,4,3,2,3,5,3,4,2,4,2,NA
"366",1,NA,NA,1,3,NA,3,4,3,3,4,3,4,4,4,3,2
"367",1,NA,1,NA,4,NA,3,5,5,2,4,5,5,4,4,2,NA
"368",0,NA,NA,NA,4,4,2,4,4,3,4,4,3,3,4,1,NA
"369",1,NA,1,NA,2,NA,4,2,2,2,6,5,5,2,4,1,NA
"370",0,NA,NA,NA,4,4,3,5,2,4,4,5,5,4,4,1,NA
"371",1,1,NA,NA,3,NA,4,7,6,6,2,6,2,4,6,1,NA
"372",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"373",0,NA,NA,NA,1,4,1,4,4,1,1,3,2,1,3,2,NA
"374",0,NA,NA,NA,4,4,3,3,3,3,5,3,4,3,4,2,NA
"375",0,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,1,NA
"376",0,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,1,NA
"377",1,1,NA,NA,2,NA,2,4,5,4,3,5,3,3,5,3,3
"378",1,NA,1,NA,2,NA,2,3,3,3,1,2,4,2,1,2,NA
"379",1,1,NA,NA,3,NA,4,4,3,3,4,3,4,3,3,3,3
"380",0,NA,NA,NA,4,4,4,3,4,5,3,3,3,3,4,2,NA
"381",1,1,NA,NA,4,NA,2,1,1,1,5,7,2,1,1,1,NA
"382",0,NA,NA,NA,1,1,2,3,4,2,4,3,3,1,3,2,NA
"383",0,NA,NA,NA,4,4,3,4,5,4,5,6,5,6,6,1,NA
"384",1,NA,1,NA,1,NA,3,3,2,3,3,4,4,3,3,2,NA
"385",1,NA,NA,1,1,NA,4,4,4,4,4,4,4,4,4,2,NA
"386",0,NA,NA,NA,1,1,1,1,2,1,5,1,4,1,2,2,NA
"387",0,NA,NA,NA,4,4,3,4,3,5,3,5,3,5,4,1,NA
"388",0,NA,NA,NA,4,1,1,7,7,7,3,7,7,5,5,1,NA
"389",0,NA,NA,NA,1,3,2,4,1,4,5,3,4,6,2,2,NA
"390",0,NA,NA,NA,4,4,4,3,2,3,6,3,5,3,3,3,3
"391",0,NA,NA,NA,4,4,4,4,2,3,4,3,5,3,2,3,3
"392",0,NA,NA,NA,4,4,3,4,4,4,5,4,4,4,2,1,NA
"393",0,NA,NA,NA,4,3,4,4,4,4,3,4,3,5,3,2,NA
"394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"395",1,NA,1,NA,4,NA,4,6,6,7,3,7,2,4,5,3,3
"396",1,1,NA,NA,3,NA,3,4,4,4,4,4,4,4,4,2,NA
"397",0,NA,NA,NA,1,1,3,4,4,4,4,5,3,4,4,2,NA
"398",1,1,NA,NA,4,NA,2,4,5,2,2,4,4,2,4,1,NA
"399",0,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,1,NA
"400",1,NA,1,NA,4,NA,4,2,5,4,5,3,3,3,4,1,NA
"401",1,NA,1,NA,4,NA,2,2,1,3,2,1,3,3,2,1,NA
"402",1,NA,NA,1,1,NA,2,4,4,2,4,2,4,2,2,2,NA
"403",0,NA,NA,NA,3,3,3,2,3,1,5,1,5,4,2,3,3
"404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405",0,NA,NA,NA,1,1,1,1,1,1,7,1,7,1,1,2,NA
"406",0,NA,NA,NA,4,4,3,4,4,4,4,4,4,4,4,4,3
"407",1,NA,1,NA,1,NA,2,4,4,4,4,3,4,3,2,1,NA
"408",0,NA,NA,NA,4,4,3,2,2,3,6,3,6,3,2,2,NA
"409",1,NA,NA,1,4,NA,4,4,4,4,4,4,4,5,4,3,1
"410",1,1,NA,NA,4,NA,2,1,2,1,6,3,4,1,1,2,NA
"411",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412",0,NA,NA,NA,4,4,4,2,1,1,6,2,6,1,1,3,1
"413",1,1,NA,NA,3,NA,4,2,3,5,3,1,2,1,1,1,NA
"414",0,NA,NA,NA,1,1,1,3,4,3,4,4,4,2,3,3,1
"415",1,NA,NA,1,4,NA,3,4,1,2,2,3,2,6,3,3,1
"416",1,NA,NA,1,3,NA,7,4,4,4,4,4,4,4,4,1,NA
"417",0,NA,NA,NA,3,3,4,4,3,6,4,4,4,6,4,3,3
"418",0,NA,NA,NA,1,3,1,1,2,3,2,3,2,2,1,1,NA
"419",1,NA,NA,1,4,NA,3,4,4,4,4,4,4,4,4,1,NA
"420",0,NA,NA,NA,2,2,2,2,3,1,3,2,3,1,1,1,NA
"421",1,NA,NA,1,1,NA,3,4,3,2,3,3,3,5,3,1,NA
"422",0,NA,NA,NA,4,4,2,3,1,1,5,4,4,4,3,2,NA
"423",1,NA,1,NA,1,NA,1,3,3,1,6,3,3,2,2,1,NA
"424",1,NA,1,NA,3,NA,3,4,4,4,4,4,4,4,4,2,NA
"425",0,NA,NA,NA,1,4,2,4,3,3,5,2,5,2,3,3,1
"426",0,NA,NA,NA,1,4,3,4,4,3,4,5,4,3,5,1,NA
"427",0,NA,NA,NA,3,3,4,4,4,4,4,4,4,4,4,2,NA
"428",0,NA,NA,NA,3,3,4,3,3,4,5,4,4,3,3,2,NA
"429",0,NA,NA,NA,3,3,4,4,3,5,4,4,4,5,4,3,1
"430",1,NA,1,NA,4,NA,7,4,5,4,3,4,4,4,4,3,3
"431",1,1,NA,NA,4,NA,3,3,4,4,3,5,3,2,4,3,1
"432",1,NA,NA,1,1,NA,4,3,3,5,5,3,3,5,3,2,NA
"433",0,NA,NA,NA,2,2,2,2,4,1,4,3,5,2,2,1,NA
"434",1,NA,1,NA,4,NA,1,7,4,1,5,4,5,3,2,1,NA
"435",0,NA,NA,NA,4,4,3,3,NA,3,4,NA,4,3,3,1,NA
"436",0,NA,NA,NA,3,3,3,3,2,3,6,2,4,5,2,2,NA
"437",1,NA,NA,1,4,NA,7,1,1,1,7,1,7,1,7,3,3
"438",0,NA,NA,NA,4,4,4,2,2,2,7,2,5,2,2,1,NA
"439",0,NA,NA,NA,3,3,1,1,1,1,1,1,1,1,1,2,NA
"440",0,NA,NA,NA,4,4,4,4,3,3,4,4,4,4,4,2,NA
"441",1,NA,NA,1,2,NA,4,4,3,3,4,5,3,3,3,1,NA
"442",1,NA,NA,1,2,NA,3,3,2,3,5,3,6,3,3,1,NA
"443",1,NA,NA,1,3,NA,1,1,1,1,5,1,5,5,1,1,NA
"444",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445",0,NA,NA,NA,3,3,3,4,3,3,4,5,3,5,3,3,3
"446",0,NA,NA,NA,3,3,4,3,2,3,5,3,4,4,3,2,NA
"447",1,NA,1,NA,2,NA,2,4,4,3,4,6,2,3,4,3,3
"448",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449",1,NA,1,NA,4,NA,4,4,4,5,1,5,2,3,4,2,NA
"450",1,NA,NA,1,2,NA,2,7,3,4,2,6,2,6,2,1,NA
"451",1,NA,1,NA,1,NA,4,5,6,5,4,4,1,5,5,2,NA
"452",1,1,NA,NA,2,NA,1,1,1,1,5,1,1,1,1,1,NA
"453",0,NA,NA,NA,1,1,3,6,6,4,2,7,1,3,5,1,NA
"454",1,1,NA,NA,1,NA,4,4,5,4,3,3,3,1,2,3,1
"455",1,NA,NA,1,3,NA,4,5,4,4,3,3,3,4,2,1,NA
"456",1,NA,NA,1,4,NA,4,3,1,3,4,4,4,2,1,3,3
"457",1,1,NA,NA,4,NA,1,4,5,5,4,5,4,4,4,1,NA
"458",0,NA,NA,NA,4,4,4,3,3,3,4,3,4,3,4,1,NA
"459",1,1,NA,NA,2,NA,3,6,5,5,3,6,2,4,5,1,NA
"460",1,1,NA,NA,4,NA,3,3,3,3,3,3,5,3,4,1,NA
"461",0,NA,NA,NA,3,2,3,4,3,4,6,4,4,3,3,2,NA
"462",0,NA,NA,NA,4,4,3,4,3,3,4,4,3,2,3,2,NA
"463",0,NA,NA,NA,2,2,3,4,4,2,1,2,1,2,1,1,NA
"464",0,NA,NA,NA,4,4,2,4,1,1,7,4,5,1,1,3,3
"465",1,NA,1,NA,1,NA,2,2,4,4,3,3,6,1,2,1,NA
"466",1,1,NA,NA,1,NA,1,7,4,7,1,7,4,7,1,1,NA
"467",0,NA,NA,NA,1,1,1,1,1,1,7,1,7,1,1,1,NA
"468",0,NA,NA,NA,3,3,4,2,2,3,6,3,5,4,2,3,3
"469",1,NA,1,NA,2,NA,4,3,3,3,3,3,4,3,3,1,NA
"470",1,NA,NA,1,3,NA,4,2,2,1,6,2,5,6,2,1,NA
"471",0,NA,NA,NA,4,1,3,4,5,4,4,5,5,4,5,2,NA
"472",1,NA,NA,1,3,NA,4,2,2,2,6,4,4,2,3,3,2
"473",0,NA,NA,NA,2,2,2,4,4,3,4,4,4,3,3,1,NA
"474",0,NA,NA,NA,2,2,1,1,2,1,6,1,6,1,2,1,NA
"475",1,NA,NA,1,4,NA,3,3,3,2,5,4,5,3,3,3,3
"476",1,NA,1,NA,3,NA,4,5,7,7,1,7,1,4,4,4,3
"477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478",0,NA,NA,NA,2,2,2,3,3,3,3,3,3,4,3,1,NA
"479",1,NA,1,NA,3,NA,4,4,4,3,4,3,4,3,3,3,3
"480",0,NA,NA,NA,2,1,4,4,4,4,4,4,4,4,4,4,3
"481",0,NA,NA,NA,2,1,3,5,3,2,4,4,3,6,7,3,2
"482",1,NA,NA,1,1,NA,3,3,4,5,4,3,4,2,3,1,NA
"483",0,NA,NA,NA,2,2,2,2,1,1,6,4,3,2,2,1,NA
"484",1,1,NA,NA,4,NA,3,1,1,3,5,1,1,1,2,1,NA
"485",1,NA,1,NA,3,NA,3,4,5,5,4,5,1,5,5,3,1
"486",0,NA,NA,NA,4,2,1,4,4,2,3,5,3,4,4,1,NA
"487",0,NA,NA,NA,4,4,1,2,1,3,2,1,4,3,2,2,NA
"488",0,NA,NA,NA,4,4,3,2,3,2,4,2,4,4,4,3,1
"489",1,NA,1,NA,4,NA,2,5,5,4,4,5,3,3,4,3,3
"490",0,NA,NA,NA,3,3,3,3,2,2,7,3,5,5,4,1,NA
"491",0,NA,NA,NA,1,1,1,2,5,2,4,3,6,1,2,3,1
"492",0,NA,NA,NA,1,1,3,3,4,3,4,3,5,2,3,2,NA
"493",1,NA,1,NA,3,NA,4,3,4,4,3,3,5,3,4,3,2
"494",1,1,NA,NA,1,NA,7,3,5,3,5,4,3,1,5,2,NA
"495",1,NA,1,NA,4,NA,4,3,5,3,3,4,4,3,3,3,3
"496",1,NA,NA,1,4,NA,3,2,2,1,5,2,6,2,3,2,NA
"497",1,1,NA,NA,4,NA,3,4,4,4,4,4,4,4,4,3,3
"498",0,NA,NA,NA,2,2,4,3,3,4,4,4,4,2,3,1,NA
"499",0,NA,NA,NA,4,4,2,1,1,1,7,4,7,1,1,3,2
"500",0,NA,NA,NA,1,4,3,4,4,4,3,5,2,5,2,1,NA
"501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502",0,NA,NA,NA,3,3,4,2,3,2,6,1,7,4,1,1,NA
"503",1,NA,NA,1,3,NA,1,1,1,1,1,1,1,1,1,2,NA
"504",1,NA,NA,1,4,NA,4,2,1,1,6,3,6,4,4,1,NA
"505",1,NA,1,NA,1,NA,4,4,5,4,3,4,3,4,4,2,NA
"506",1,1,NA,NA,1,NA,2,1,4,7,4,4,4,3,1,2,NA
"507",0,NA,NA,NA,3,3,3,2,3,3,5,3,5,4,3,1,NA
"508",0,NA,NA,NA,3,3,3,3,4,4,4,4,4,4,4,3,2
"509",0,NA,NA,NA,3,3,7,4,4,4,4,4,4,4,4,1,NA
"510",0,NA,NA,NA,1,1,3,3,5,4,3,5,2,4,3,3,3
"511",1,NA,NA,1,3,NA,4,3,3,3,5,3,5,5,4,4,3
"512",1,NA,1,NA,3,NA,3,3,1,2,7,3,5,1,2,3,2
"513",0,NA,NA,NA,1,1,3,1,4,2,4,4,4,1,2,2,NA
"514",1,1,NA,NA,3,NA,3,3,4,3,4,5,5,2,3,3,2
"515",1,NA,1,NA,4,NA,1,1,1,1,7,1,7,1,1,1,NA
"516",1,NA,NA,1,1,NA,4,5,5,7,4,7,1,3,6,2,NA
"517",1,NA,NA,1,4,NA,2,1,4,1,4,1,7,1,1,2,NA
"518",0,NA,NA,NA,4,4,2,7,1,1,1,3,4,4,2,3,1
"519",1,NA,1,NA,4,NA,7,1,3,2,5,2,7,2,1,3,2
"520",0,NA,NA,NA,4,3,4,3,2,5,6,4,4,3,4,1,NA
"521",0,NA,NA,NA,4,4,3,4,4,4,4,4,4,4,4,1,NA
"522",0,NA,NA,NA,3,3,4,1,1,1,4,2,4,1,3,1,NA
"523",0,NA,NA,NA,2,2,3,2,2,2,2,3,4,3,2,3,1
"524",0,NA,NA,NA,4,4,4,4,4,4,5,4,4,2,3,1,NA
"525",0,NA,NA,NA,1,1,4,3,3,3,5,3,4,3,4,3,1
"526",0,NA,NA,NA,3,3,3,4,4,4,4,4,4,4,4,1,NA
"527",1,1,NA,NA,3,NA,4,5,5,2,2,6,3,4,4,3,3
"528",1,1,NA,NA,4,NA,2,3,3,4,5,3,4,3,3,3,3
"529",1,NA,NA,1,1,NA,1,1,1,1,7,1,7,1,1,1,NA
"530",1,NA,1,NA,4,NA,1,3,3,3,4,3,5,3,4,1,NA
"531",0,NA,NA,NA,4,4,3,3,1,3,4,4,4,4,3,2,NA
"532",1,1,NA,NA,2,NA,2,3,4,5,2,4,3,3,3,1,NA
"533",1,NA,1,NA,1,NA,4,5,4,3,4,6,2,5,4,3,1
"534",0,NA,NA,NA,4,4,4,4,4,4,4,4,5,3,3,3,3
"535",1,1,NA,NA,4,NA,4,6,6,6,2,6,2,4,5,1,NA
"536",1,NA,1,NA,4,NA,4,7,7,7,7,7,7,7,7,1,NA
"537",0,NA,NA,NA,2,2,4,3,4,3,4,3,4,3,4,3,1
"538",0,NA,NA,NA,3,2,3,5,3,4,4,4,5,4,4,2,NA
"539",1,NA,NA,1,3,NA,2,3,2,1,2,3,2,1,2,1,NA
"540",0,NA,NA,NA,4,4,4,4,4,4,4,4,4,4,4,3,3
"541",0,NA,NA,NA,4,4,4,2,1,3,6,1,7,2,2,1,NA
"542",1,NA,NA,1,2,NA,4,4,2,4,4,4,4,3,4,3,1
"543",1,NA,1,NA,1,NA,4,7,5,5,4,7,1,3,6,3,3
"544",1,NA,NA,1,1,NA,1,4,1,1,7,1,7,1,1,1,NA
"545",0,NA,NA,NA,3,3,1,1,3,4,3,2,3,4,2,1,NA
"546",0,NA,NA,NA,1,1,4,2,4,2,6,3,5,1,1,2,NA
"547",1,NA,1,NA,3,NA,4,4,4,4,3,5,3,3,4,3,3
"548",0,NA,NA,NA,2,2,3,2,4,4,2,2,5,2,3,1,NA
"549",1,NA,NA,1,1,NA,2,3,3,2,1,3,7,2,1,1,NA
"550",1,NA,NA,1,1,NA,4,2,2,2,5,3,5,2,2,2,NA
"551",0,NA,NA,NA,4,3,2,4,3,3,5,4,6,4,2,1,NA
"552",0,NA,NA,NA,3,3,4,4,4,4,4,4,4,4,4,4,3
"553",0,NA,NA,NA,2,2,4,7,7,6,1,7,1,4,6,2,NA
"554",0,NA,NA,NA,2,1,2,3,4,3,4,3,4,4,4,1,NA
"555",1,1,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,1,NA
"556",1,1,NA,NA,4,NA,4,4,3,4,3,3,3,2,3,4,3
"557",0,NA,NA,NA,2,2,2,4,4,3,4,3,5,3,4,1,NA
"558",1,1,NA,NA,1,NA,4,1,3,1,5,3,5,1,3,2,NA
"559",0,NA,NA,NA,1,4,3,6,3,3,4,4,4,1,3,2,NA
"560",1,NA,1,NA,3,NA,4,4,4,4,4,4,4,4,4,4,3
"561",1,1,NA,NA,3,NA,4,4,4,4,4,4,4,4,4,4,3
"562",0,NA,NA,NA,3,3,3,2,1,1,5,3,6,4,3,3,3
"563",0,NA,NA,NA,1,1,1,2,1,1,7,2,1,2,1,1,NA
"564",1,NA,1,NA,1,NA,2,3,3,3,5,3,5,3,3,3,3
"565",1,NA,1,NA,1,NA,2,3,3,3,3,3,4,3,4,1,NA
"566",0,NA,NA,NA,4,4,2,7,3,5,5,5,1,7,4,1,NA
"567",1,1,NA,NA,4,NA,4,5,6,4,3,4,5,3,3,3,3
"568",0,NA,NA,NA,3,3,7,2,3,1,5,4,4,3,3,1,NA
"569",1,NA,NA,1,1,NA,3,2,2,3,5,4,4,5,3,4,3
"570",0,NA,NA,NA,4,4,4,2,2,3,6,5,2,1,2,3,2
"571",0,NA,NA,NA,4,3,4,5,4,4,4,4,4,3,4,3,3
"572",1,NA,NA,1,1,NA,3,4,4,4,4,4,4,4,4,3,3
"573",1,NA,NA,1,4,NA,3,2,2,3,6,3,5,4,4,3,3
"574",0,NA,NA,NA,4,4,3,4,3,3,5,3,5,3,3,1,NA
"575",0,NA,NA,NA,3,3,3,4,3,3,3,3,4,3,4,3,2
"576",0,NA,NA,NA,1,2,1,2,4,3,3,3,2,1,3,2,NA
"577",1,NA,NA,1,1,NA,3,3,2,3,4,4,4,4,3,2,NA
"578",1,NA,1,NA,1,NA,2,7,4,7,7,5,4,6,7,2,NA
"579",0,NA,NA,NA,4,4,3,3,4,4,5,4,5,3,4,1,NA
"580",0,NA,NA,NA,2,2,3,3,4,3,4,4,5,3,6,3,2
"581",1,1,NA,NA,4,NA,2,4,4,4,4,4,4,4,4,3,3
"582",0,NA,NA,NA,4,4,7,4,4,4,4,3,4,4,3,2,NA
"583",1,NA,1,NA,4,NA,1,7,6,6,4,4,5,5,7,1,NA
"584",0,NA,NA,NA,3,3,4,3,4,3,5,3,4,5,3,2,NA
"585",1,NA,1,NA,1,NA,4,5,7,5,2,5,2,4,4,3,1
"586",1,NA,NA,1,3,NA,7,4,4,4,4,4,4,4,4,2,NA
"587",1,1,NA,NA,4,NA,1,1,4,1,4,4,4,1,1,1,NA
"588",1,1,NA,NA,4,NA,4,4,6,4,3,5,3,3,4,4,3
"589",0,NA,NA,NA,1,1,2,4,4,5,4,4,4,4,3,2,NA
"590",1,1,NA,NA,2,NA,4,1,3,2,3,3,2,2,3,1,NA
"591",1,NA,NA,1,3,NA,3,3,4,3,6,4,4,4,4,1,NA
"592",0,NA,NA,NA,4,4,4,3,2,4,6,2,2,2,3,2,NA
"593",0,NA,NA,NA,3,2,4,4,5,4,3,5,3,4,4,3,3
"594",1,NA,1,NA,2,NA,1,3,4,2,5,3,5,3,2,1,NA
"595",1,1,NA,NA,1,NA,3,5,4,5,3,5,3,4,4,2,NA
"596",1,NA,NA,1,4,NA,4,4,3,4,5,4,4,4,4,4,3
"597",0,NA,NA,NA,3,3,4,2,1,2,4,3,4,5,4,3,2
"598",1,1,NA,NA,3,NA,4,3,5,3,3,5,3,3,3,2,NA
"599",0,NA,NA,NA,1,1,1,1,3,2,3,2,4,1,1,3,1
"600",1,NA,1,NA,1,NA,4,3,4,4,3,3,4,2,3,3,1
"601",0,NA,NA,NA,4,4,3,2,2,2,6,4,6,4,2,2,NA
"602",0,NA,NA,NA,4,4,3,2,1,2,5,1,5,1,2,3,2
"603",0,NA,NA,NA,4,4,2,4,3,3,4,4,3,3,4,2,NA
"604",1,NA,1,NA,4,NA,4,5,6,7,4,4,4,4,5,3,3
"605",1,NA,1,NA,3,NA,4,4,4,4,4,4,4,3,4,2,NA
"606",1,1,NA,NA,4,NA,4,4,4,3,4,4,3,2,3,2,NA
"607",0,NA,NA,NA,4,4,4,4,4,4,4,3,4,4,3,3,2
"608",1,NA,NA,1,2,NA,1,1,1,1,7,2,7,1,1,1,NA
"609",0,NA,NA,NA,1,1,4,4,4,4,4,4,4,4,4,3,3
"610",1,NA,NA,1,1,NA,3,3,3,3,4,3,5,3,3,2,NA
"611",1,1,NA,NA,1,NA,3,4,2,4,4,4,3,4,3,1,NA
"612",0,NA,NA,NA,4,4,4,4,4,4,4,4,5,4,3,3,1
"613",0,NA,NA,NA,1,1,4,2,3,1,4,3,4,1,2,2,NA
"614",0,NA,NA,NA,1,1,3,1,5,1,2,5,4,1,3,3,1
"615",1,1,NA,NA,4,NA,4,6,7,5,1,7,1,4,6,3,2
"616",1,1,NA,NA,1,NA,3,3,5,3,3,5,5,2,3,3,1
"617",0,NA,NA,NA,3,3,4,3,3,3,6,5,2,3,3,4,3
"618",1,1,NA,NA,2,NA,1,5,4,3,4,3,3,5,2,1,NA
"619",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620",0,NA,NA,NA,1,1,2,4,2,3,4,3,5,3,3,1,NA
"621",0,NA,NA,NA,4,4,3,4,2,4,4,4,5,4,3,1,NA
"622",0,NA,NA,NA,1,1,2,2,3,2,4,3,4,2,3,1,NA
"623",1,NA,1,NA,2,NA,1,3,3,4,1,3,4,4,2,1,NA
"624",0,NA,NA,NA,1,1,3,3,4,3,4,4,4,3,4,3,3
"625",0,NA,NA,NA,4,1,1,3,3,3,5,4,5,3,3,1,NA
"626",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627",1,NA,1,NA,4,NA,4,4,4,4,4,5,3,4,5,3,1
"628",1,NA,1,NA,3,NA,4,3,5,3,3,5,3,2,3,1,NA
"629",0,NA,NA,NA,4,4,2,3,1,2,7,2,5,2,2,1,NA
"630",1,1,NA,NA,2,NA,4,3,3,3,5,3,3,3,3,1,NA
"631",0,NA,NA,NA,2,2,1,3,4,3,4,3,3,2,3,4,2
"632",1,NA,NA,1,1,NA,3,1,1,1,6,4,5,4,2,1,NA
"633",1,NA,1,NA,4,NA,4,5,5,4,2,5,2,4,4,2,NA
"634",0,NA,NA,NA,2,2,3,3,3,3,5,5,4,2,4,1,NA
"635",0,NA,NA,NA,4,4,7,4,4,4,4,4,4,4,4,4,2
"636",1,1,NA,NA,2,NA,4,5,5,5,3,5,2,4,5,1,NA
"637",1,1,NA,NA,3,NA,2,3,4,4,4,4,4,2,4,3,3
"638",1,NA,1,NA,3,NA,4,4,3,3,5,7,1,3,4,2,NA
"639",0,NA,NA,NA,3,3,7,3,2,3,5,4,4,5,3,1,NA
"640",1,NA,NA,1,2,NA,4,3,3,3,4,4,5,3,4,1,NA
"641",0,NA,NA,NA,1,1,2,3,4,3,5,1,5,1,1,3,3
"642",1,1,NA,NA,3,NA,3,5,5,4,5,5,3,3,5,2,NA
"643",0,NA,NA,NA,1,1,3,3,4,3,4,3,4,3,3,4,3
"644",1,NA,NA,1,4,NA,1,5,1,3,4,3,4,2,2,2,NA
"645",1,NA,1,NA,3,NA,4,3,4,4,3,3,4,3,5,1,NA
"646",1,1,NA,NA,1,NA,1,2,3,2,3,3,2,1,3,1,NA
"647",0,NA,NA,NA,1,1,4,1,2,2,6,2,6,1,1,2,NA
"648",1,NA,1,NA,3,NA,4,5,5,5,2,6,2,2,4,3,2
"649",0,NA,NA,NA,4,4,2,3,1,3,4,3,4,1,4,1,NA
"650",0,NA,NA,NA,4,4,2,5,5,5,3,4,3,5,3,1,NA
"651",1,NA,NA,1,1,NA,7,4,3,4,5,4,4,4,3,1,NA
"652",1,NA,NA,1,1,NA,4,4,3,5,5,3,4,4,4,3,1
"653",0,NA,NA,NA,4,1,3,4,4,4,4,4,4,4,4,3,3
"654",0,NA,NA,NA,4,4,2,3,3,3,3,3,5,4,3,1,NA
"655",0,NA,NA,NA,4,4,4,3,2,3,5,3,5,2,3,1,NA
"656",1,NA,1,NA,3,NA,4,5,5,4,2,5,2,4,4,2,NA
"657",0,NA,NA,NA,1,1,2,1,1,1,5,1,7,1,1,3,3
"658",1,1,NA,NA,1,NA,4,4,5,5,3,5,3,5,4,1,NA
"659",1,NA,NA,1,4,NA,4,4,4,4,5,4,4,4,4,2,NA
"660",1,1,NA,NA,3,NA,4,4,5,4,2,2,3,1,3,4,2
"661",0,NA,NA,NA,4,4,1,3,3,5,6,4,5,1,3,1,NA
"662",1,1,NA,NA,4,NA,4,4,4,4,3,4,4,4,4,3,2
"663",0,NA,NA,NA,4,3,1,4,2,NA,5,6,4,6,NA,1,NA
"664",0,NA,NA,NA,3,3,3,2,1,1,6,3,5,4,3,3,3
"665",0,NA,NA,NA,4,4,1,1,1,1,7,1,1,2,1,3,3
"666",0,NA,NA,NA,4,4,1,1,1,1,4,1,4,1,1,1,NA
"667",1,1,NA,NA,2,NA,2,4,5,4,3,4,1,1,4,2,NA
"668",0,NA,NA,NA,4,4,1,4,2,2,4,3,4,1,2,3,2
"669",0,NA,NA,NA,4,4,3,3,3,2,6,4,5,2,3,2,NA
"670",0,NA,NA,NA,3,3,3,3,3,2,5,3,5,7,3,3,2
